,Sq_Ft_Tot_Living,Sq_Ft_Lot,Bathroom_count,Bedroom_count,Bldg_Grade,Property_Type,Nbr_Living_Units,Sq_Ft_Fin_Basement,Yr_Built,Yr_Renovated,Newly_Construction,House_Sale_Price
1,2400,9373,3.0,6,7,Multiplex,2,0,1991,0,False,300805.0
2,3764,20156,3.75,4,10,Single Family,1,1452,2005,0,True,1076162.0
3,2060,26036,1.75,4,8,Single Family,1,900,1947,0,False,761805.0
4,3200,8618,3.75,5,7,Single Family,1,1640,1966,0,False,442065.0
5,1720,8620,1.75,4,7,Single Family,1,0,1948,0,False,297065.0
6,930,1012,1.5,2,8,Townhouse,1,0,2008,0,True,411781.0
7,1750,34465,1.5,3,8,Single Family,1,0,1961,0,False,380785.0
8,1860,14659,1.75,4,7,Single Family,1,620,1963,0,False,349489.0
9,990,5324,1.0,2,6,Single Family,1,0,1930,0,False,231239.0
10,1980,10585,2.0,4,6,Multiplex,2,0,1924,0,False,463148.0
11,840,12750,1.0,2,6,Single Family,1,0,1925,0,False,160236.0
12,1750,5200,1.0,3,7,Single Family,1,600,1958,0,False,372178.0
13,790,5240,1.0,2,6,Single Family,1,0,1925,0,False,315175.0
14,790,5240,1.0,2,6,Single Family,1,0,1925,0,False,327739.0
16,2120,7320,2.75,3,8,Single Family,1,0,1901,0,False,634754.0
18,2620,3485,1.5,4,7,Single Family,1,1060,1920,0,False,432352.0
20,1500,5253,1.75,3,6,Single Family,1,750,1919,0,False,505014.0
21,2070,4600,2.25,3,7,Single Family,1,1000,1909,0,False,502857.0
22,3020,27229,3.0,3,6,Single Family,1,1510,2000,0,False,332255.0
23,2370,24034,2.0,4,8,Single Family,1,1080,1960,0,False,419369.0
24,1530,3296,2.5,3,8,Single Family,1,0,1998,0,False,538921.0
25,1530,3696,2.5,3,8,Single Family,1,0,1998,0,False,518725.0
26,2780,13349,2.5,3,10,Single Family,1,0,1990,0,False,802796.0
27,2420,8186,2.5,3,10,Single Family,1,0,1992,0,False,694292.0
28,2280,9093,2.5,4,10,Single Family,1,0,1990,0,False,671246.0
29,2280,9093,2.5,4,10,Single Family,1,0,1990,0,False,641815.0
30,3130,8750,2.5,3,10,Single Family,1,0,1991,0,False,936052.0
31,3060,9055,3.25,3,10,Single Family,1,600,1994,0,False,768075.0
32,3190,10223,3.5,3,10,Single Family,1,630,1994,0,False,853936.0
33,3130,13412,2.75,4,9,Single Family,1,990,1993,0,False,842280.0
34,2660,9021,2.5,3,9,Single Family,1,0,1992,0,False,639944.0
35,2230,9948,2.75,3,9,Single Family,1,0,1993,0,False,735333.0
36,2341,9594,2.5,4,9,Single Family,1,0,1997,0,False,603442.0
37,3540,9185,3.75,4,9,Single Family,1,1510,1996,0,False,771088.0
38,2470,9001,2.5,3,9,Single Family,1,0,1995,0,False,708571.0
39,2810,9012,2.5,4,9,Single Family,1,0,1996,0,False,744245.0
40,2590,9100,2.5,4,9,Single Family,1,0,1996,0,False,755027.0
41,2330,5420,2.75,3,8,Single Family,1,0,2003,0,False,429116.0
42,1850,4500,2.5,3,8,Single Family,1,0,2004,0,False,374781.0
43,1850,4500,2.5,3,8,Single Family,1,0,2004,0,False,310179.0
44,1920,4800,2.5,4,8,Single Family,1,0,2004,0,False,375822.0
